[ 2025-12-15 17:10:57,342 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-12-15 17:10:58,779 ] 19 root - INFO - Initiate the data ingestion
[ 2025-12-15 17:11:00,932 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-15 17:11:00,932 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-15 17:11:00,933 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-15 17:11:00,972 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-15 17:11:00,972 ] 21 root - INFO - Data Initiation Completed
[ 2025-12-15 17:11:00,977 ] 25 root - INFO - Initiate the data Validation
[ 2025-12-15 17:11:01,021 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 17:11:01,022 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 17:11:01,022 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 17:11:01,022 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 17:11:01,138 ] 27 root - INFO - data Validation Completed
