[ 2025-12-15 17:16:26,247 ] 19 root - INFO - Initiate the data ingestion
[ 2025-12-15 17:16:29,162 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-15 17:16:29,162 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-15 17:16:29,162 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-15 17:16:29,216 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-15 17:16:29,216 ] 21 root - INFO - Data Initiation Completed
[ 2025-12-15 17:16:29,227 ] 25 root - INFO - Initiate the data Validation
[ 2025-12-15 17:16:29,266 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 17:16:29,266 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 17:16:29,266 ] 32 root - INFO - Required number of columns:2
[ 2025-12-15 17:16:29,266 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-15 17:16:29,382 ] 27 root - INFO - data Validation Completed
